Name,Tier,Class,Card Type,Mana Cost,Rarity,Set,Tribe/School,Mechanic
Snowflipper Penguin,League 4,Neutral,Minion,0,Common,"Core, Knights of the Frozen Throne",Beast,
Target Dummy,League 5,Neutral,Minion,0,Rare,Goblins v Gnomes,Mech,Taunt
Sigil of Silence,League 5,Demon Hunter,Spell,0,Rare,Forged in the Barrens,Shadow,"Sigil, Silence"
Illuminate,League 2,Priest,Spell,0,Common,Voyage to the Sunken City,Holy,
Flurry (Rank 1),League 3,Mage,Spell,0,Rare,Forged in the Barrens,Frost,
Raise Dead,League 2,"Priest, Warlock",Spell,0,Common,Scholomance Academy,Shadow,
Shifting Scroll,League 5,Mage,Spell,0,Common,Kobolds and Catacombs,Arcane,
Sacrificial Pact,League 4,Warlock,Spell,0,Common,Legacy,"Demon, Shadow",Health
Forbidden Healing,League 5,Paladin,Spell,0,Epic,Whispers of the Old Gods,Holy,Health
Freezing Potion,League 5,Mage,Spell,0,Common,Mean Streets of Gadgetzan,Frost,Freeze
Zap!,League 4,Shaman,Spell,0,Common,"Core, The Witchwood",Nature,"Deal Damage, Overload"
Ransack,League 4,Rogue,Spell,0,Common,March of the Lich king,None,"Deal Damage, Thief"
Lazul's Scheme,League 5,Priest,Spell,0,Epic,Rise of Shadows,Shadow,Removal
Wisp,League 5,Neutral,Minion,0,Common,Legacy,None,
Provoke,League 4,Warrior,Spell,0,Epic,United in Stormwind,None,"Removal, Tradeable"
Ancestral Healing,League 5,Shaman,Spell,0,Common,Legacy,Nature,"Health, Taunt"
Shadowstep,League 2,Rogue,Spell,0,Common,"Core, Legacy",Shadow,
Shadow of Demise,League 2,Rogue,Spell,0,Legendary,March of the Lich king,Shadow,
Desk Imp,League 5,Neutral,Minion,0,Common,Scholomance Academy,"Demon, Imp",
Serpentbloom,League 4,Hunter,Spell,0,Common,Forged in the Barrens,"Beast, None","Buff, Poisonous"
Dispose of Evidence,League 2,Demon Hunter,Spell,0,Rare,Murder at Castle Nathria,None,
Forbidden Shaping,League 5,Priest,Spell,0,Epic,Whispers of the Old Gods,Shadow,Summon
Beakered Lightning,League 4,Shaman,Spell,0,Common,Boomsday Project,Nature,"Deal Damage, Overload"
Circle of Healing,League 4,Priest,Spell,0,Common,Legacy,Holy,Health
Silence,League 4,Priest,Spell,0,Common,Legacy,Shadow,Silence
Topsy Turvy,League 3,Priest,Spell,0,Common,Boomsday Project,None,
Whispers of EVIL,League 5,Priest,Spell,0,Common,Descent of Dragons,None,Lackey
Forbidden Words,League 4,Priest,Spell,0,Rare,Rise of Shadows,Shadow,Removal
Totemic Surge,League 2,Shaman,Spell,0,Common,Saviours of Uldum,"Nature, Totem",
